Source,Product/Video Title,Comment/Review Text,Rating,Sentiment,Issues,Additional Details,Tokens
YouTube,,"""Great video on solar panels, really helpful!""",,Positive,,,"['great', 'video', 'solar', 'panel', 'realli', 'help']"
Amazon,Tata Power Solar,"""Good Product with Perfect Working Condition""",5.0,Positive,,,"['good', 'product', 'perfect', 'work', 'condit']"
Amazon,Tata Power Solar,"""Paisa barbaad company, inverter not working""",1.0,Negative,Product not working,,"['paisa', 'barbaad', 'compani', 'invert', 'work']"
Amazon,Waaree Energies,"""Panel of glass is broken, I want return and refund""",3.0,Negative,Broken panel,,"['panel', 'glass', 'broken', 'want', 'return', 'refund']"
Amazon,Topcon Bifacial,"""Exceptionally good performance, giving 1100 watts at 11 PM""",5.0,Positive,Good performance,,"['except', 'good', 'perform', 'give', '1100', 'watt', '11', 'pm']"
Amazon,Topcon Bifacial,"""Damaged Panel Received, I opened the box for installation and itâ€™s damaged""",1.0,Negative,Damaged product,,"['damag', 'panel', 'receiv', 'open', 'box', 'instal', 'damag']"
YouTube,,"""Can someone explain the difference between mono and poly solar panels?""",,Neutral,,,"['someon', 'explain', 'differ', 'mono', 'poli', 'solar', 'panel']"
YouTube,Tata Power Solar,"""Great performance, saves a lot of electricity!""",,Positive,,,"['great', 'perform', 'save', 'lot', 'electr']"
Amazon,Loom Solar,"""Paisa barbaad company. Inverter not working and no response from customer service.""",1.0,Negative,Product not working,110 helpful votes,"['paisa', 'barbaad', 'compani', 'invert', 'work', 'respons', 'custom', 'servic']"
YouTube,Waaree Energies,"""The panels are quite efficient and durable, very satisfied.""",,Positive,,,"['panel', 'quit', 'effici', 'durabl', 'satisfi']"
Amazon,Vikram Solar,"""The panel glass broke after just a few days. Poor quality.""",3.0,Negative,Broken panel,"1 helpful vote, image of broken glass","['panel', 'glass', 'broke', 'day', 'poor', 'qualiti']"
YouTube,Adani Solar,"""Affordable but not as efficient as I expected.""",,Neutral,,,"['afford', 'effici', 'expect']"
Amazon,Tata Power Solar,"""Good product, timely delivery, and fine performance.""",5.0,Positive,,"5-star, 5 helpful votes","['good', 'product', 'time', 'deliveri', 'fine', 'perform']"
